Date Posted,Media Type,Post Text,Post Likes,Post Comments,Video Views,Media Links
1 month ago,"Other: Poll, Shared Post, etc","On August 26, 2022, in the presence of Dr. Akila Muthuramalingam, Principal, KPRIET, and Dr. Bulli Yohannis Tassisa, Academic Vice President of DDU, Ethiopia, a Memorandum of Understanding was signed between KPR Institute of Engineering and Technology, Tamil Nadu, India, and Dambi Dollo University, Ethiopia.MoU includes the establishment of an SDG Chair at DDU in Ethiopia and collaborations in academics and research at all levels.MoU signing was organized by Dr. M. A. Manikandan, Director/KIC-KPRIET, Dr. A. Sampathkumar, AP/CS, DDU, Mr. Vasanthaseelan Sathiyaseelan, LO/KIC-KPRIET, Dr. Manish Kishore Kumar, ASP/Eng, DDUThe event was coordinated by Mr. R. Vignesh, AP/Mech-KPRIET#technology #india #engineering #research #event #university #mou #kpriet #coimbatore #ethiopia #DambiDollo



…see more",146,146,2 reposts,None
2 weeks ago,"Other: Poll, Shared Post, etc","Professor Dr. Sibrand Poppema, President and Vice-Chancellor, Sunway University, is a revered luminary in the field of Immunopathology. He is a Dutch Canadian citizen, studied Medicine at the University of Groningen in the Netherlands. His erudition and research acumen in the field of lymphoma pathology have been astounding and exceptional. His profoundness and assiduous nature in research positioned him as one of the top 2% highly cited authors in the world in the field of immunology, as his research articles have been cited more than 18,500 times for an H- factor of 76 in Google Scholar. He was the initiator of the Healthy Ageing focus at the University of Groningen and established the Biobank and Cohort study Lifelines. His contributions to the society earned him innumerable laurels such as Knighthood in the Order of the Netherlands Lion, the Officer's Cross of the Order of Merit of the Federal Republic of Germany, Medal of Honor of the City of Groningen and many more. It is true that the adoration and accolades fall short, while considering his scientific achievements. KPRIET is privileged to attach the intellectual stalwart as the Advisor for KPRIET and Honorary professor for Biomedical Engineering.#honarary #professor #kpriet #sunway #university #experience #india #engineering #biomedical #research #google #medicine #society 



…see more",241,241,5 reposts,None
2 months ago,"Other: Poll, Shared Post, etc","In order to foster international academic cooperation, a collaboration between Mahsa University in Malaysia and KPR Institute of Engineering and Technology in India was inked on August 2, 2022, in Selangor, Malaysia. The Memorandum of Understandings has several goals, including the exchange of publications, academic information and materials for study, exchange of faculty, students and research scholars and cooperative initiatives to enhance the immersion programme, projects, and internships.#technology #education #india #engineering #research #students #university #collaboration #publications #publications #internships #projects #malaysia #kpriet #mahsauniversity #kpriet #coimbatore #india #tamilnadu #experience MAHSA University



…see more",221,221,5 reposts,None
3 months ago,"Other: Poll, Shared Post, etc","The Department of Biomedical Engineering, KPR Institute of Engineering and Technology (KPRIET), Coimbatore in association with Siddha Vetha Centre for Transdisciplinary Studies (SVCTS) – USA, Canada & UAE is organizing an International Conference on Ancient Medical Sciences and Technology (ICAMST 2022) on 14-16 July 2022.  	This conference manifests the global multiversity by utilizing the transdisciplinary preventive and non-invasive forms of healthcare and sciences to save and enhance many lives and balance the Earth’s ecosystem for a better world. The sessions are shared by 24 International and National speakers.The inaugural ceremony is presided by Dr. K. P. Ramasamy, Chairman, KPR Group on 14.07.2022. The Chief Guest for the Ceremony is Dr. C. Subramanian, Former Vice Chancellor, Tamil University, Thanjavur. The Guests of Honor are Mr. Manuneethi Manickam, Chairman, MAK Group of Companies and Dr. Sailesh Rao, Climate Healers Stanford Scientist, USA.The valedictory ceremony will be conducted on 16.07.2022 and it is presided by Dr. K. P. Ramasamy, Chairman, KPR Group. The Chief Guest for the Ceremony is Hon’ble Mr. S. Muthusamy, Minister for Housing and Urban Development, Government of Tamil Nadu. Hon’ble Dr. M. Mathiventhan, Minister for Tourism, Government of Tamil Nadu will be the Guest of Honor. Dr. V. Thiruvalluvan and Dr. Jaya. Rajamoorthy, Director – Department of Medical and Rural Health Services, and President, Vallalar Tamil Forum, Tiruvenkadu are the Special invitees. Book on “Vallalarum Periyarum” by Dr. Jaya. Rajamoorthy will be released on this occasion. Mr. Umapathy, Great Grandson of Vadalur Vallalar will grace this ceremony with his presence. Three technical sessions on Ancient Medicine to Modern Medicine, Technology in Biomedical Engineering and Medicine and Science in Tamil Literature are to be conducted. Stalls on Herbal plants, Books and Siddha products are also planned. The organizing committee comprises Dr. M. Akila, Principal, KPRIET, Dr. D. Ganeshkumar, Professor and Head, Department of Biomedical Engineering, KPRIET, Dr. Shan Laksmanan, VC, Siddha Vetha Centre and Dr. B. Manjula, Chair for Samarasa Suddha Sanmarga Sathiya Research, Chennai.#technology #health #healthcare #engineering #development #research #canada #university #uae #science #medical #tourism #medicine #housing #kpriet #coimbatorejobs #india #experience #tamilnadu



…see more",114,114,3 reposts,None
2 months ago,"Other: Poll, Shared Post, etc","At the event ""Aasiriyargaludan Anbil Nammil Oruvar"" held at the KPR Institute of Engineering and Technology, on July 24, 2022, Thiru. Anbil Mahesh Poyyamozhi, honourable Minister of School Education, Government of Tamilnadu, participated and addressed the gathering. He insisted the parents and teachers not to compare their wards with the others. Minister asked them to allow their children to concentrate on the field in which they are interested. School teachers from various regions of Tamil Nadu participated in this event and interacted with the honourable Minister. Dr. K. P. Ramasamy, Chairman, KPR Group presided over the function. The keynote address on the theme of ""Savaalgal"" (Challenges) was given by Dr. M. Akila, Principal-KPRIET.Participants in the event included Kavignar Thangamoorthi, Thiru. P. Ponnaiya, Sigaram Sathish, Principals, and Teachers from different districts. #technology #engineering #education #event #teachers #school #minister #anbil #tamilnadu #coimbatore #kpriet 



…see more",437,437,1 comment,None
3 months ago,"Other: Poll, Shared Post, etc","KPR Institute of Engineering and Technology received Rural & Urban Development Summit & Award 2022 - Rural Development Excellence Award- Best CSR Initiatives category from Shri Kaushal Kishore, Honourable Minister of urban affairs in the presence of Shri Aswini Kumar Choubey, Minister of Environment forestry,  Shri. Sadhvi Nirjan, Minister of Rural Development and Shri Pratap Chandra Sarangi, Member of Parliament on 08.07.2022 in India Habitat Centre, New Delhi.#technology #india #engineering #development #delhi #environment #minister #awards #government #tamilnadu #india #experience



…see more",69,69,1 comment,None
4 months ago,"Other: Poll, Shared Post, etc","On June 25, 2022, Dr. M. Akila, Principal, KPRIET, met with Datok Seri M. Saravanan, Minister of Human Resources, Malaysia, to extend an invitation to the Kurinji Tamil Sangam Awards Ceremony that KPR Institutions will be hosting and the Graduation Day of KPR Mills Ltd., both of which will take place on June 26, 2022, at KPR Mills in Coimbatore.#humanresources #coimbatore #india #malaysia #minister #graduation #mills #education #kpriet #experience 



…see more",140,140,4 reposts,None
3 weeks ago,"Other: Poll, Shared Post, etc","KPR Institute of Engineering and Technology was named one of India's best workplaces for women in 2022 by a Great Place to Work institute with 60 countries under its umbrella. This accolade is given on the basis of secure and safe workplace culture. Based on comments from employees at Great Place to Work-Certified firms, Great Place to Work and Fortune have created a series of rankings. One of those rankings is titled ""The Best Workplaces for Women.""This recognition has been crucial to our efforts at hiring, retaining talent, and building trust with the student community and industry partners. Being named one of India's top workplaces for women has aided us in fostering pride in ourselves, in our work, and in our organization. The level of employee trust in leaders, the respect shown to people, the fairness of workplace decisions, and teamwork within teams are among the criteria for this recognition. The businesses on the list are examples of companies that value all employees equally, regardless of their backgrounds or roles within the company.#greatplacetowork #safety #unity #india #kpriet #tamilnadu #technology #work #community #people #engineering #hiring #culture #leaders #teamwork #talent #respect



…see more",154,154,3 reposts,None
4 months ago,"Other: Poll, Shared Post, etc","Mr. Chen Chen Dhorji, a former member of the commerce committee, and Ms. Phuntso, during their visit to the KPRIET campus, addressed the provision of skill development training for Bhutan students under 25 different programmes. The meeting was organised by Dr. M. A. Manikandan, Director of the KPR International Center. #training #students #development #commerce #india #bhutan #international #education #study #success #experience #coimbatore #kpriet 



…see more",189,189,1 comment,None
4 months ago,"Other: Poll, Shared Post, etc","குவாண்டம் நிட்ஸ் - 3, KPR மில்லில் பணிபுரிந்து கொண்டே தொலைதூர கல்வி வழியில் BCA பயின்று வரும் செல்வி M. நிவேதா அவர்கள் காமன்வெல்த் ஆஃப் லேர்னிங்கின், வான்கூவர்-இன் துணை நிறுவனமான,  ஆசியாவிற்கான காமன்வெல்த் கல்வி ஊடக மையத்தின் (CEMCA) தகவல் மற்றும் தொடர்பாடல்  தொழில்நுட்ப துறையில் பாராட்டத்தக்க செயல்திறனுக்காக ரூ. 25,000 பரிசு தொகை மாற்று சான்றிதழ் பெறுகிறார். KPR குழுமத்தின் சார்பில் அவரது எதிர்கால முயற்சிகளுக்கு நல்வாழ்த்துகளை தெரிவிப்பதுடன் அவரது வாழ்க்கையில் உச்சத்தை அடைய வேண்டுகிறோம். 1994 இல் ஆசியாவிற்கான காமன்வெல்த் கல்வி ஊடக மையத்தை (CEMCA) காமன்வெல்த் ஆஃப் லேர்னிங்கின் நிறுவனம் நிறுவியது. ஆசிய பிராந்தியத்தில் உள்ள காமன்வெல்த் நாடுகள் கல்வியை மிகவும் பயனுள்ள பயன்பாட்டிற்காக வெளிப்படுத்தும் வகையில் திறந்த, தொலைதூர மற்றும் தொழில்நுட்ப மேம்படுத்தப்பட்ட பல ஊடகங்களைப் பயன்படுத்தி கற்றலின் அளவு, செயல்திறன் மற்றும் தரத்தை விரிவுபடுத்துவதில் அரசாங்கங்கள் மற்றும் நிறுவனங்களுக்கு உதவும் வண்ணம் CEMCA உருவாக்கபட்டது.மாண்புமிகு தமிழக ஆளுநர் திரு. R N ரவி அவர்கள் தலைமையில் நடக்கும் பட்டமளிப்பு விழாவில் உயர் கல்வி துறை அமைச்சர் திரு. பொன்முடி அவர்கள் இவ்விருதினை வழங்கவுள்ளார். KPR கல்வி நிறுவனங்களின் சாதனையாளர்களின் பட்டியலில் செல்வி. நிவேதா தன்னையும் இணைத்து கொண்டதை நினைத்து KPR குழு மட்டற்ற மகிழ்ச்சி அடைகிறது. நிவேதா அவர்களை முன் உதாரணமாக கொண்டு மேலும் பலர் வாழ்வில் வெற்ற பெற என்றென்றும் KPR கல்வி நிறுவனம் துணை நிற்கும்!With great zeal, we appreciate Ms. M. Nivetha, who is a BCA Graduate (Quantum Knits – 3, KPR Mill Limited) for receiving Rs 25,000 for her applaudable performance in Information and Technology by the Commonwealth Educational Media Centre (CEMC) for Asia, a subsidiary of the Commonwealth of Learning, Vancouver. Team KPR wishes all the very best for her future endeavors and prayers for her to attain zenith in her life.#team #technology #learning #future #media #congratulations



…see more",81,81,3 reposts,None
5 months ago,"Other: Poll, Shared Post, etc","We are proud to share the Students Ambassadors of Virtusa from KPR Institute of Engineering and Technology, Coimbatore . Indeed it is a great privilege for our students to be a part of great organisation like Virtusa. Thank you Mr. Krithivasan sir and Virtusa Team for consistently supporting us in all our endeavours. Wishing all the student ambassadors a wonderful year ahead! #technology #thankyou #engineering #students #share #like #students #virtusa #kpriet #studentslife #experience 



…see more",75,75,1 comment,None
5 months ago,"Other: Poll, Shared Post, etc","Mr. Ramar and Mr. Ahilesh of the first-year AD department participated in a group discussion event and won first prize with a cash prize of Rs. 1000 in Kongu Engineering College's AVENTURO 2K22.#engineering #event #kpriet #congratulations #lifeatkpr #experience #gptwcertified #CertifcationNationDay #greatplacetowork #technology #studentslife



…see more",56,56,3 reposts,None
5 months ago,"Other: Poll, Shared Post, etc","There is nothing as knowing that a kind man is celebrating his birthday because, on the birthday, you get the chance to also make him happy as he has made many others happy. Happy birthday to the only chairman whose smile gives you maximum encouragement to work. Happy birthday to our beloved chairman.Here are the few happiest moments of the celebration!#happybirthday #Chairman #foundersday #kpr #kpriet #Birthday #kprgroup #happy #work



…see more",367,367,10 comments,None
6 months ago,"Other: Poll, Shared Post, etc","Most modern-day facilitators agree that introducing creative initiatives into their teaching process has direct effect in the student performance in the classroom and in examinations.The Centre for Teaching Innovation and Excellence in KPRIET organized an event titled “Innovative Teaching” where faculty members representing their respective departments made a presentation about the practices they follow in their everyday classroom.#innovation #event #creative #teaching #kpriet #cftie #engineering #education



…see more",256,256,7 reposts,None
6 months ago,"Other: Poll, Shared Post, etc","Annual Day was celebrated on April 07, 2022 at KPR Kalaiarangam, KPRIET.Dr. K. P. Ramasamy, Chairman, KPR Group presided over the function. Padma Shri Dr. R. V. Ramani, Founder and Managing Trustee, Sankara Eye Foundation, India was the chief guest of the program. Kalaimamani Padma Shri Solomon Pappiah, Indian Scholar and Television Icon and Shri. G. N. V. Subba Rao, GHQO - PABA, Whole Time Director, ABB Global Industries and Services Pvt. Ltd. were the Guest of Honours. Marabin Mainthan Muththaiyah, Dr. M. Akila, Principal, KPRIET were present over the function. The function begin with the Prayer song and the welcome address. The presentation of annual report of college activities is a special feature of the annual day function and Principal Dr. M. Akila presented the Annual Report 2021-2022. Felicitation and distribution of certificates of merit in due acknowledgement to the students and faculty of the college for their exemplary performance in different academic pursuits formed another segment of the programme. Best Outgoing students and the best department awards were announced during the function. #kpriet#annualday #solomonpappaiah #celebration #college#students#achievement #congratulations #television #india 



…see more",226,226,1 comment,None
6 months ago,"Other: Poll, Shared Post, etc","We are delighted to award the Department of Electronics and Communication Engineering, which is led by Dr. M. Kathirvelu, Professor and Head of the Department, as the ""Best Department of the Year 2021-2022."" During the annual day 2022, Dr. M. Akila Principal, KPRIET announced the award and the Chief Guest Padma Shri Solomon Pappiah presented the award to Dr. M. Kathirvelu for their remarkable performance in academic, co-curricular, and extra curricular activities by both professors and students. In terms of student engagement and achievements, faculty contribution to research, funding, consulting, and placement, the department ranks first among all departments to obtain the prestigious award.#research #students #engineering #communication #consulting #engagement #funding #electronics #bestdepartment #ece #kpriet



…see more",122,122,7 reposts,None
6 months ago,"Other: Poll, Shared Post, etc","சூரியனை அடிப்படையாக வைத்துத் தங்களின் தமிழ் புத்தாண்டை கொண்டாடி வருகின்றனர் தமிழர்கள். ஒரு வருடத்தில் மொத்தம் 12 மாதங்கள், அதனை அடிப்படையாக கொண்டு சித்திரை மாதமே தமிழ் நாட்காட்டிட்யின் முதல் மாதமாக உள்ளது. தமிழ் வருடத்தின் கால அளவு எப்பொழுதும் சீரானதாகவே உள்ளது.அறிவியல் ரீதியாக சூரியன் பூமியை சுற்றி வர 365 நாட்கட்ள், 6 மணி நேரம், 11 நிமிடம், 48 நொடிகள் ஆகிறது. இதை வைத்துத் தான் தமிழ் வருடத்தின் கால அளவும் பின்பற்றப்படுகிறது. பெரும்பாலும் தமிழ் வருடப்பிறப்பு ஏப்ரல் மாதம் 13, 14, 15 ஆகிய தேதிகளில் தான் வரும்.இதற்கு முன்னர் தமிழர்கர் புத்தாண்டை கொண்டாடினார்கள் என்பதற்கான சான்று சரிவர கிடைக்கவில்லை. கடந்த காலத்தில் ஆவணி மாதத்தை ஆண்டின் தொடக்கமாக கருதி கொண்டாடி இருக்கலாம் என்று ஒரு சில சான்றுகள் கூறுகின்றன. தொல்காப்பியத்திற்கு உரை எழுதிய நச்சிச் னார்க்கினியர் ஆவணி முதல் மாதம் என்று குறிப்பிடுகிறார், ஆனால் அந்த மாதம் பண்டிகைகள் கொண்டாடப்பட்டட்து என்பதற்கான சான்று எதுவும் இல்லை. ஆனால் சித்திரை மாதம் தான் முதல் மாதம் என்பதை நெடுநல்வாடை, பதினைந்தாம் நூற்றாண்டைச் சேர்ந்த புட்ப விதி போன்ற நூல்கள் எடுத்துத் கூறுகின்றன. சிலப்பதிகார காலத்திலிருந்து இன்று வரை தமிழர் அனைவரும் சித்திரைத் திருநாளை வருடப்பிறப்பாக சிறப்பாகக் கொண்டாடி வருகிறார்கள். தமிழ் புத்தாண்டு அன்று மக்கள் வீட்டை ட் சுத்தம் செய்து, நீராடி, வாசலில் கோலமிட்டுட் புத்தாடை அணிந்து பெரியோர்கர் ளின் காலில் விழுந்து ஆசிர்வாதம் வாங்கி, கோவிலுக்கு செல்வார்கள். வீட்டில் செய்த உணவுகளை மற்றவர்களுக்கு பரிமாறி அதில் மகிழ்ச்சி காண்பார்கள்.KPR பொறியியல் மற்றும் தொழில்நுட்ப கல்லூரியில் தமிழ் வருட பிறப்பை வரவேற்கும் விதமாக கொண்டாடப்பட்ட நிகழ்வின் சில காட்சிகள் உங்கள் பார்வைக்கு.ഓണം കഴിഞ്ഞാൽ കേരളീയരുടെ പ്രധാന ആഘോഷമാണ് വിഷു. മലയാള മാസം മേടം ഒന്നിനാണ് കാർഷിക ഉത്സവമായ വിഷു. കണിയും കൈനീട്ടവും മനസിൽ നിറഞ്ഞ നിൽക്കുന്ന ഒരു ഉത്സവമാണ്. കണി ഒരുക്കുന്നത് വീട്ടിലെ അമ്മമാരാണെങ്കിൽ കൈനീട്ടം നൽകുന്നത് ഗ്രഹനാഥനാണ്.അടുത്ത ഒരു കൊല്ലത്തെ കുറിച്ചാണ് വിഷുവിലൂടെ ജനങ്ങൾ ചിന്തിക്കുന്നത്. വിഷുവിനു ചെയ്യുന്ന കാര്യങ്ങളുടെ ഫലങ്ങൾ അടുത്ത ഒരു കൊല്ലക്കാലം നിലനിൽക്കുന്നു എന്നാണ്‌ വിശ്വാസം.മേട മാസ പുലരിയിൽ ഓര്‍മ്മകളെ തട്ടിയുണര്‍ത്തി കണി കാണാൻ മാത്രം വിരിയുന്ന കണിക്കൊന്ന പൂക്കളുടെ നന്മയുമായി ഒരു *വിഷു കൂടി വരവായി*എല്ലാവർക്കും സ്നേഹത്തിന്റെയും സമൃദ്ധിയുടെയും  വിഷു ആശംസകൾ*#HappyTamilNewYear #vishu #newyear #kpriet #celebration



…see more",130,130,1 comment,None
7 months ago,"Other: Poll, Shared Post, etc","Indian physicist and Emeritus Professor at the Department of Physics, IISER, Pune, Professor Deepak Dhar becomes first ever Indian physicist to receive the prestigious Boltzmann Medal for his contribution in the field of statistical physics. Prof Deepak is one of the two physicists selected for the prestigious award, the second awardee being Prof. John Hopfield from Princeton University.The award will be given during International Conference on Statistical Physics - Statphys 28 - to be held in Tokyo from August 8 to 12.The Boltzmann Medal award honours outstanding achievements in Statistical Physics. The recipient should be a scientist who has not received the Boltzmann Medal or the Nobel Prize before.Prof Deepak is also an Senior Scientist at National Academy of Sciences, India (NASI), which is the first Science Academy of India established in 1930. He is an alumnus of University of Allahabad and IIT Kanpur.The Boltzmann Medal is awarded once every three years by the Commission on Statistical Physics of the C3 Commission on Statistical Physics of the International Union of Pure and Applied Physics (IUPAP) at the Statphys Conference.KPRIET wholeheartedly congratulates Prof. Deepak Dhar for his achievement. #university #science #india #pune #Boltzmann #kpriet #iiser



…see more",44,44,2 reposts,None
7 months ago,"Other: Poll, Shared Post, etc","The Department of Mechanical Engineering conducted Tech Talk to the executives and experts of ELGI Equipments, Coimbatore in the title of ""Generative Design"" on 10.03.2022. The leaders and members of Design Society, KPRIET demonstrated the process of Generative Design using Autodesk Fusion 360 software and presented 3D printed model created using Generative Design.#leaders #design #tech #society #software #mechanicalengineering #kpriet #mech #coimbatore



…see more",97,97,5 reposts,None
8 months ago,"Other: Poll, Shared Post, etc","“We strongly believe that the Industrial Exposure Makes the Freshmen Industry Ready Engineers!”We are glad to welcome you for the fifth edition of Campus Connect which is to be commenced on March 02, 2022.So far in the past years 250+ speakers, who are the experts from various industries, researchers, academicians, government authorities in managerial positions, HR's, CEO's, and CTO's from various corporate organization participated in the program. This year 50+ speakers are participating to mentor and mold the students of our institution with their knowledge, wisdom and experience.We invite you all to take part in this event and get benefited.#students #event #hr #experience #ceo #engineers



…see more",47,47,7 reposts,None
